"Comune","Concentrazione ioni idrogeno (pH) (limite: 6,5-9,5)","Residuo fisso (da calcolo)","Durezza totale","Conducibilità elettrica a 20°C (limite: 2500)","Calcio","Magnesio","Ammonio (limite: 0,5)","Cloruro (limite: 250)","Solfato (limite: 250)","Potassio","Sodio (limite: 200)","Arsenico (limite: 10)","Bicarbonato","Cloro residuo libero","Fluoruri (limite: 1,5)","Nitrato (limite: 50)","Nitrito (limite: 0,5)","Manganese (limite: 50)"
bonate sotto,"7,9",165,14,238,41,9,"< 0,1",2,11,"0,5","1,4",< 1,156,"< 0,10","< 0,05",4,"< 0,05",< 5
borgo di terzo,"7,9",270,24,376,57,24,"< 0,1",2,8,"0,6","1,3",< 1,280,"< 0,10","0,19",8,"< 0,05",< 5
bossico,"7,9",246,21,377,55,19,"< 0,1",2,7,"0,6","1,3",< 1,235,"< 0,10","0,14",8,"< 0,05",< 5
bottanuco,"8,1",164,14,229,42,8,"< 0,1",< 2,8,"< 0,5","0,9",< 1,157,"< 0,10","< 0,05",4,"< 0,05",< 5
bracca,"8,0",260,23,373,50,25,"< 0,1",2,4,"< 0,5","1,2",< 1,266,"0,11","0,06",8,"< 0,05",< 5
brembate,"7,5",347,28,496,79,19,"< 0,1",13,28,"0,9","5,8",< 1,278,"< 0,10","0,06",24,"< 0,05",< 5
brembate di sopra,"7,5",443,36,634,108,21,"< 0,1",18,23,"1,7","11,3",< 1,401,"< 0,10","0,07",31,"< 0,05",< 5
brumano,"8,1",186,16,268,34,19,"< 0,1",< 2,< 3,"< 0,5","0,6",< 1,200,"< 0,10","< 0,05",6,"< 0,05",< 5
brusaporto,"7,9",245,20,309,55,16,"< 0,1",8,24,"0,9","3,8",< 1,222,"0,10","0,05",5,"< 0,05",< 5
calcinate,"7,6",423,31,596,98,17,"< 0,1",26,25,"0,8","14,8",< 1,317,"< 0,10","0,07",32,"< 0,05",< 5
calcio,"7,5",300,24,428,77,11,"< 0,1",10,30,"0,9","4,0",< 1,248,"< 0,10","0,10",15,"< 0,05",< 5
calusco dadda,"8,0",223,18,315,52,11,"< 0,1",5,24,"1,8","4,6",1,189,"< 0,10","0,11",7,"< 0,05",< 5
capizzone,"8,1",172,14,242,46,6,"< 0,1",9,5,"< 0,5","1,0",< 1,166,"< 0,10","0,07",8,"< 0,05",< 5
capriate san gervasio,"8,0",329,24,478,65,18,"< 0,1",13,18,"0,8","5,1",< 1,259,"< 0,10","< 0,05",17,"< 0,05",< 5
caprino bergamasco,"7,9",218,18,338,58,8,"< 0,1",3,4,"< 0,5","1,9",< 1,256,"< 0,10","0,06",6,"< 0,05",< 5
carobbio degli angeli,"7,8",270,23,385,56,23,"< 0,1",2,8,"0,6","1,4",< 1,280,"0,18","0,18",8,"< 0,05",< 5
carona,"8,0",147,12,207,32,9,"< 0,1",< 2,22,"< 0,5","1,4",4,124,"0,14","0,15",4,"< 0,05",< 5
carvico,"7,7",248,19,350,55,14,"< 0,1",7,25,"1,6","5,3",2,212,"< 0,10","0,11",7,"< 0,05",< 5
casazza,"7,8",265,23,373,55,23,"< 0,1",2,8,"0,6","1,2",< 1,281,"< 0,10","0,16",8,"< 0,05",< 5
casnigo,"7,9",219,19,311,51,15,"< 0,1",< 2,3,"< 0,5","0,7",< 1,227,"0,13","0,08",4,"< 0,05",< 5
cassiglio,"8,2",147,17,213,27,15,"< 0,1",< 2,< 3,"< 0,5","2,0",< 1,152,"0,20","< 0,05",4,"< 0,05",< 5
castelli calepio,"7,5",398,31,572,102,13,"< 0,1",32,35,"1,5","8,2",< 1,277,"0,15","< 0,05",20,"< 0,05",< 5
castel rozzone,"7,9",208,18,281,49,13,"< 0,1",5,18,"0,6","2,4",< 1,197,"0,12","< 0,05",7,"< 0,05",< 5
castione della presolana,"8,2",172,14,253,44,8,"< 0,1",< 2,18,"< 0,5","0,8",< 1,152,"< 0,10","< 0,05",4,"< 0,05",< 5
castro,"7,6",414,37,648,101,28,"< 0,1",3,157,"< 0,5","1,6",< 1,229,"0,12","0,14",7,"< 0,05",< 5
cavernago,"7,6",298,23,413,65,17,"< 0,1",21,26,"0,6","4,8",< 1,249,"< 0,10","< 0,05",15,"< 0,05",< 5
cazzano santandrea,"7,8",218,19,311,51,15,"< 0,1",< 2,4,"< 0,5","0,9",< 1,234,"< 0,10","0,08",4,"< 0,05",< 5
cenate sopra,"8,1",276,24,400,60,22,"< 0,1",3,8,"0,6","1,7",< 1,278,"< 0,10","0,17",8,"< 0,05",< 5
cenate sotto,"7,9",275,23,383,56,22,"< 0,1",3,8,"0,6","1,8",< 1,271,"< 0,10","0,17",8,"< 0,05",< 5
cene,"7,4",315,27,426,93,9,"< 0,1",3,6,"0,6","1,7",< 1,329,"0,12","0,28",7,"< 0,05",< 5
cerete,"8,2",219,18,312,55,11,"< 0,1",2,37,"< 0,5","1,0",< 1,206,"0,11","0,05",5,"< 0,05",< 5
chignolo disola,"7,6",353,28,484,80,20,"< 0,1",13,18,"1,1","5,4",< 1,298,"< 0,10","0,05",33,"< 0,05",< 5
chiuduno,"7,7",312,25,483,73,16,"< 0,1",5,11,"0,7","2,8",< 1,306,"0,11","0,30",11,"< 0,05",< 5
cisano bergamasco,"7,8",355,28,479,82,19,"< 0,1",11,26,"2,2","8,6",2,303,"< 0,10","0,10",11,"< 0,05",< 5
ciserano,"7,8",191,16,258,44,12,"< 0,1",3,15,"0,6","2,0",< 1,183,"< 0,10","0,05",5,"< 0,05",< 5
cividate al piano,"7,7",301,24,408,67,18,"< 0,1",21,28,"0,6","5,1",< 1,226,"< 0,10","< 0,05",15,"< 0,05",< 5
clusone,"8,0",223,19,309,63,7,"< 0,1",< 2,61,"< 0,5","0,7",< 1,155,"0,14","< 0,05",5,"< 0,05",< 5
colere,"8,0",140,12,186,44,3,"< 0,1",< 2,6,"< 0,5","0,9",< 1,139,"< 0,10","< 0,05",4,"< 0,05",< 5
cologno al serio,"7,8",226,18,319,48,15,"< 0,1",10,21,"0,6","3,8",< 1,173,"0,12","< 0,05",11,"< 0,05",< 5
colzate,"7,8",247,21,413,67,10,"< 0,1",5,23,"0,8","2,4",< 1,148,"0,11","0,09",5,"< 0,05",< 5
comun nuovo,"7,4",348,24,490,69,16,"< 0,1",12,23,"0,7","3,4",< 1,298,"< 0,10","< 0,05",14,"< 0,05",< 5
cornalba,"8,1",248,22,349,47,24,"< 0,1",< 2,15,"< 0,5","0,9",< 1,241,"0,16","< 0,05",7,"< 0,05",< 5
corna imagna,"8,0",199,19,283,51,15,"< 0,1",< 2,14,"< 0,5","1,2",< 1,180,"< 0,10","0,08",6,"< 0,05",< 5
