"Comune","Concentrazione ioni idrogeno (pH) (limite: 6,5-9,5)","Residuo fisso (da calcolo)","Durezza totale","Conducibilità elettrica a 20°C (limite: 2500)","Calcio","Magnesio","Ammonio (limite: 0,5)","Cloruro (limite: 250)","Solfato (limite: 250)","Potassio","Sodio (limite: 200)","Arsenico (limite: 10)","Bicarbonato","Cloro residuo libero","Fluoruri (limite: 1,5)","Nitrato (limite: 50)","Nitrito (limite: 0,5)","Manganese (limite: 50)"
lurano,"7,9",196,16,263,46,12,"< 0,1",4,16,"0,6","2,2",< 1,186,"< 0,10","< 0,05",6,"< 0,05",< 5
luzzana,"7,9",269,24,382,57,23,"< 0,1",2,8,"0,7","1,4",< 1,276,"0,10","0,19",9,"< 0,05",< 5
madone,"7,9",172,14,235,41,9,"< 0,1",3,12,"0,5","1,2",< 1,156,"< 0,10","< 0,05",5,"< 0,05",< 5
mapello,"8,1",161,14,240,42,9,"< 0,1",< 2,10,"< 0,5","1,1",< 1,162,"< 0,10","< 0,05",4,"< 0,05",< 5
martinengo,"7,6",306,24,433,67,18,"< 0,1",22,27,"0,6","5,0",< 1,223,"< 0,10","< 0,05",15,"< 0,05",< 5
medolago,"7,6",303,24,475,67,18,"< 0,1",8,18,"1,4","6,7",< 1,298,"< 0,10","0,10",15,"< 0,05",< 5
moio de calvi,"7,6",103,8,104,20,8,"< 0,1",< 2,< 3,"0,8","1,0",< 1,119,"0,17","< 0,05",5,"< 0,05",< 5
monasterolo del castello,"7,9",295,24,428,72,14,"< 0,1",2,30,"0,6","2,3",< 1,260,"0,25","0,31",8,"< 0,05",< 5
montello,"7,7",443,37,637,127,12,"< 0,1",19,20,"1,4","8,5",< 1,357,"< 0,10","0,09",31,"< 0,05",< 5
mornico al serio,"7,4",388,30,468,94,15,"< 0,1",25,24,"1,0","14,9",< 1,273,"< 0,10","0,08",23,"< 0,05",< 5
mozzo,"8,1",202,17,347,46,14,"< 0,1",< 2,20,"< 0,5","1,2",< 1,155,"< 0,10","< 0,05",5,"< 0,05",< 5
nembro,"7,5",355,32,501,65,37,"< 0,1",< 2,6,"< 0,5","1,1",< 1,388,"0,10","0,07",10,"< 0,05",< 5
oltressenda alta,"8,1",150,13,214,45,4,"< 0,1",< 2,11,"< 0,5","0,6",< 1,134,"< 0,10","< 0,05",7,"< 0,05",< 5
oltre il colle,"8,0",173,15,230,43,9,"< 0,1",< 2,27,"< 0,5","0,8",< 1,139,"0,17","< 0,05",8,"< 0,05",< 5
oneta,"7,8",198,18,377,39,19,"< 0,1",3,16,"< 0,5","0,7",< 1,253,"0,18","< 0,05",5,"< 0,05",< 5
onore,"7,6",246,21,340,56,18,"< 0,1",3,7,"< 0,5","1,7",< 1,256,"0,11","< 0,05",8,"< 0,05",< 5
orio al serio,"7,9",197,16,283,45,12,"< 0,1",3,17,"0,7","1,8",< 1,171,"0,11","0,05",4,"< 0,05",< 5
ornica,"7,5",40,10,58,31,6,"< 0,1",< 2,< 3,"1,4","2,1",1,44,"0,13","< 0,05",< 2,"< 0,05",< 5
